seconds,label,vent_RR,vent_rel_vt
0.09070611000061035,R peak,10,10
1.0727050304412842,R peak,10,10
2.0267059803009033,R peak,10,10
2.990705966949463,R peak,10,10
3.9927051067352295,R peak,10,10
4.9547059535980225,R peak,10,10
5.942706108093262,R peak,10,10
6.940705060958862,R peak,10,10
7.924705982208252,R peak,10,10
8.926706075668335,R peak,10,10
9.900705099105835,R peak,10,10
10.874706029891968,R peak,10,10
11.858705997467041,R peak,10,10
12.838705062866211,R peak,10,10
13.858705997467041,R peak,10,10
14.848706007003784,R peak,10,10
15.844706058502197,R peak,10,10
16.8227059841156,R peak,10,10
17.836705923080444,R peak,10,10
18.84070611000061,R peak,10,10
19.856705904006958,R peak,10,10
20.84070611000061,R peak,10,10
21.83470606803894,R peak,10,10
22.782705068588257,R peak,10,10
23.76270604133606,R peak,10,10
24.778706073760986,R peak,10,10
25.78470492362976,R peak,10,10
26.794706106185913,R peak,10,10
27.794706106185913,R peak,10,10
28.788705110549927,R peak,10,10
29.778706073760986,R peak,10,10
